,image,char,font_name,Raleway,Open Sans,Roboto,Ubuntu Mono,Michroma,Alex Brush,Russo One
0,ant+hill_102.jpg_0,s,Roboto,0,0,1,0,0,0,0
1,ant+hill_102.jpg_0,a,Roboto,0,0,1,0,0,0,0
2,ant+hill_102.jpg_0,y,Roboto,0,0,1,0,0,0,0
3,ant+hill_102.jpg_0,.,Roboto,0,0,1,0,0,0,0
4,ant+hill_102.jpg_0,W,Raleway,1,0,0,0,0,0,0
5,ant+hill_102.jpg_0,P,Raleway,1,0,0,0,0,0,0
6,ant+hill_102.jpg_0,G,Raleway,1,0,0,0,0,0,0
7,ant+hill_102.jpg_0,k,Russo One,0,0,0,0,0,0,1
8,ant+hill_102.jpg_0,e,Russo One,0,0,0,0,0,0,1
9,ant+hill_102.jpg_0,e,Russo One,0,0,0,0,0,0,1
10,ant+hill_102.jpg_0,p,Russo One,0,0,0,0,0,0,1
11,ant+hill_102.jpg_0,d,Roboto,0,0,1,0,0,0,0
12,ant+hill_102.jpg_0,a,Roboto,0,0,1,0,0,0,0
13,ant+hill_102.jpg_0,y,Roboto,0,0,1,0,0,0,0
14,ant+hill_102.jpg_0,f,Michroma,0,0,0,0,1,0,0
15,ant+hill_102.jpg_0,o,Michroma,0,0,0,0,1,0,0
16,ant+hill_102.jpg_0,r,Michroma,0,0,0,0,1,0,0
17,ant+hill_102.jpg_0,w,Raleway,1,0,0,0,0,0,0
18,ant+hill_102.jpg_0,h,Raleway,1,0,0,0,0,0,0
19,ant+hill_102.jpg_0,o,Raleway,1,0,0,0,0,0,0
20,ant+hill_102.jpg_0,v,Open Sans,0,1,0,0,0,0,0
21,ant+hill_102.jpg_0,e,Open Sans,0,1,0,0,0,0,0
22,ant+hill_102.jpg_0,r,Open Sans,0,1,0,0,0,0,0
23,ant+hill_102.jpg_0,y,Open Sans,0,1,0,0,0,0,0
24,ant+hill_102.jpg_0,a,Ubuntu Mono,0,0,0,1,0,0,0
25,ant+hill_102.jpg_0,r,Ubuntu Mono,0,0,0,1,0,0,0
26,ant+hill_102.jpg_0,t,Ubuntu Mono,0,0,0,1,0,0,0
27,ant+hill_102.jpg_0,i,Ubuntu Mono,0,0,0,1,0,0,0
28,ant+hill_102.jpg_0,c,Ubuntu Mono,0,0,0,1,0,0,0
29,ant+hill_102.jpg_0,l,Ubuntu Mono,0,0,0,1,0,0,0
30,ant+hill_102.jpg_0,e,Ubuntu Mono,0,0,0,1,0,0,0
31,ant+hill_102.jpg_0,A,Alex Brush,0,0,0,0,0,1,0
32,ant+hill_102.jpg_0,p,Alex Brush,0,0,0,0,0,1,0
33,ant+hill_102.jpg_0,r,Alex Brush,0,0,0,0,0,1,0
34,ant+hill_102.jpg_1,A,Alex Brush,0,0,0,0,0,1,0
35,ant+hill_102.jpg_1,k,Alex Brush,0,0,0,0,0,1,0
36,ant+hill_102.jpg_1,g,Alex Brush,0,0,0,0,0,1,0
37,ant+hill_102.jpg_1,u,Alex Brush,0,0,0,0,0,1,0
38,ant+hill_102.jpg_1,n,Alex Brush,0,0,0,0,0,1,0
39,ant+hill_102.jpg_1,),Alex Brush,0,0,0,0,0,1,0
40,ant+hill_102.jpg_1,a,Ubuntu Mono,0,0,0,1,0,0,0
41,ant+hill_102.jpg_1,v,Ubuntu Mono,0,0,0,1,0,0,0
42,ant+hill_102.jpg_1,o,Ubuntu Mono,0,0,0,1,0,0,0
43,ant+hill_102.jpg_1,i,Ubuntu Mono,0,0,0,1,0,0,0
44,ant+hill_102.jpg_1,d,Ubuntu Mono,0,0,0,1,0,0,0
45,ant+hill_102.jpg_1,t,Alex Brush,0,0,0,0,0,1,0
46,ant+hill_102.jpg_1,h,Alex Brush,0,0,0,0,0,1,0
47,ant+hill_102.jpg_1,e,Alex Brush,0,0,0,0,0,1,0
48,ant+hill_102.jpg_1,s,Alex Brush,0,0,0,0,0,1,0
49,ant+hill_102.jpg_1,e,Alex Brush,0,0,0,0,0,1,0
50,ant+hill_102.jpg_1,.,Alex Brush,0,0,0,0,0,1,0
51,ant+hill_102.jpg_1,e,Roboto,0,0,1,0,0,0,0
52,ant+hill_102.jpg_1,s,Roboto,0,0,1,0,0,0,0
53,ant+hill_102.jpg_1,p,Roboto,0,0,1,0,0,0,0
54,ant+hill_102.jpg_1,t,Ubuntu Mono,0,0,0,1,0,0,0
55,ant+hill_102.jpg_1,h,Ubuntu Mono,0,0,0,1,0,0,0
56,ant+hill_102.jpg_1,e,Ubuntu Mono,0,0,0,1,0,0,0
57,ant+hill_111.jpg_0,f,Open Sans,0,1,0,0,0,0,0
58,ant+hill_111.jpg_0,o,Open Sans,0,1,0,0,0,0,0
